Ingrese mensaje:;"Enter message:"
Escuchar;Hear
Espacio;Space
Borrar;Delete
Borrar Todo;"Delete All"
Cancelar;Cancel
Inicio;Home
index;index
Instituciones;Institutions
Perfiles;Profiles
Roles;Roles
Usuarios;Users
Compras;Purchases
Configuracion;Configuration
Ingles;English
logout;logout
Cerrar Sesion;"Sign off"
alta;New
Nuevo;New
Razon social;"Business name"
Acciones;Actions
modificar;edit
Editar;Edit
baja;delete
Nombre;Name
Roles de sistema;"System Roles"
carrito;shopping cart
Fecha;Date
Borrador;Draft
Precio;Price
Si;Yes
Guardar;Save
Modificacion;Modification
Listado;List
Administrar institucion asignada;"Manage Assigned Institution"
Nombre de usuario;"User Name"
Rol;Rol
Institucion;Institution
Usuario de sistema;"System User"
Tableros;Dashboard
instituciones;instituciones
perfiles;profiles
roles;roles
usuarios;users
compras;purchases
Acceder;Login
acceder;login
Entrar;Enter
Usuario;User
Contraseña;Password
Aceptar;Accept
"Olvido Contraseña?";"Forgot Password?"
" Cerrar Sesion";" Log Out"
ELAMobile;ELAMobile
html;html
salir;salir
" Salir";" Salir"
noticia;noticia
id;id
1;1
pass.html;pass.html
recuperar;recuperar
confirmar;confirmar
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' does not match the expected structure for a DNS hostname"
"Nuevo password enviado";"Nuevo password enviado"
en;en
"Nueva contraseña";"Nueva contraseña"
"Contraseña actualizada";"Contraseña actualizada"
"Se enviaron las instrucciones a su casilla de correo";"Se enviaron las instrucciones a su casilla de correo"
"Usuario incorrecto";"Usuario incorrecto"
Alta;Alta
Baja;Baja
Alta;Alta
Baja;Baja
Alta;Alta
Baja;Baja
Alta;Alta
Baja;Baja
Alta;Alta
Baja;Baja
carrito.phtml;carrito.phtml
NULL;NULL
ElaMobile;ElaMobile
ver;ver
"Su licencia caduco. Comuniquese con su institucion.";"Su licencia caduco. Comuniquese con su institucion."
asignaciones;asignaciones
asignar;asignar
"Nueva Asignacion";"Nueva Asignacion"
"Tipo de licencia";"Tipo de licencia"
Codigo;Codigo
Vigencia;Vigencia
"Asignar Licencia";"Asignar Licencia"
"Sin licencia asignada";"Sin licencia asignada"
"Con licencia asignada";"Con licencia asignada"
"Asignacion correcta";"Asignacion correcta"
"No hay disponible la cantidad requerida para el tipo de licencia seleccionado";"No hay disponible la cantidad requerida para el tipo de licencia seleccionado"
"Password de usuario";"Password de usuario"
"Email de usuario";"Email de usuario"
Aprobada;Aprobada
No;No
Ver;Ver
"Es borrador";"Es borrador"
"Esta aprobada";"Esta aprobada"
Total;Total
Cantidad;Cantidad
Subtotal;Subtotal
"No asignada";"No asignada"
"No asignada";"No asignada"
Licencia;Licencia
Confirmar;Confirmar
Rechazar;Rechazar
"Esta a punto de confirmar la compra.";"Esta a punto de confirmar la compra."
"Este proceso le otorgara a la empresa solicitante, las licencias detalladas abajo.";"Este proceso le otorgara a la empresa solicitante, las licencias detalladas abajo."
"Esta seguro de continuar?";"Esta seguro de continuar?"
pagar;pagar
Pagar;Pagar
notificacion;notificacion
